run,axis,rmse,pearson_r,peak_amp,peak_idx
"0       stationary_spiral5_10.08.2025.csv
1       stationary_spiral5_10.08.2025.csv
2       stationary_spiral5_10.08.2025.csv
3       stationary_spiral5_10.08.2025.csv
4       stationary_spiral5_10.08.2025.csv
                      ...                
8829    stationary_spiral5_10.08.2025.csv
8830    stationary_spiral5_10.08.2025.csv
8831    stationary_spiral5_10.08.2025.csv
8832    stationary_spiral5_10.08.2025.csv
8833    stationary_spiral5_10.08.2025.csv
Name: source_path, Length: 8834, dtype: object",y,136.60222060265215,0.9998223482824025,5395.224740453358,5863
"0       stationary_spiral5_10.08.2025.csv
1       stationary_spiral5_10.08.2025.csv
2       stationary_spiral5_10.08.2025.csv
3       stationary_spiral5_10.08.2025.csv
4       stationary_spiral5_10.08.2025.csv
                      ...                
8829    stationary_spiral5_10.08.2025.csv
8830    stationary_spiral5_10.08.2025.csv
8831    stationary_spiral5_10.08.2025.csv
8832    stationary_spiral5_10.08.2025.csv
8833    stationary_spiral5_10.08.2025.csv
Name: source_path, Length: 8834, dtype: object",z,157.6090808015242,0.9997692473366447,-4053.0,5652
"0       stationary_spiral5_10.08.2025.csv
1       stationary_spiral5_10.08.2025.csv
2       stationary_spiral5_10.08.2025.csv
3       stationary_spiral5_10.08.2025.csv
4       stationary_spiral5_10.08.2025.csv
                      ...                
8829    stationary_spiral5_10.08.2025.csv
8830    stationary_spiral5_10.08.2025.csv
8831    stationary_spiral5_10.08.2025.csv
8832    stationary_spiral5_10.08.2025.csv
8833    stationary_spiral5_10.08.2025.csv
Name: source_path, Length: 8834, dtype: object",mag,209.75105998274012,0.9976632875595522,8478.156993120616,5653
"0       stationary_spiral6_10.08.2025.csv
1       stationary_spiral6_10.08.2025.csv
2       stationary_spiral6_10.08.2025.csv
3       stationary_spiral6_10.08.2025.csv
4       stationary_spiral6_10.08.2025.csv
                      ...                
9968    stationary_spiral6_10.08.2025.csv
9969    stationary_spiral6_10.08.2025.csv
9970    stationary_spiral6_10.08.2025.csv
9971    stationary_spiral6_10.08.2025.csv
9972    stationary_spiral6_10.08.2025.csv
Name: source_path, Length: 9973, dtype: object",x,104.69809908221777,0.9998579232074688,7794.438049019314,5556
"0       stationary_spiral6_10.08.2025.csv
1       stationary_spiral6_10.08.2025.csv
2       stationary_spiral6_10.08.2025.csv
3       stationary_spiral6_10.08.2025.csv
4       stationary_spiral6_10.08.2025.csv
                      ...                
9968    stationary_spiral6_10.08.2025.csv
9969    stationary_spiral6_10.08.2025.csv
9970    stationary_spiral6_10.08.2025.csv
9971    stationary_spiral6_10.08.2025.csv
9972    stationary_spiral6_10.08.2025.csv
Name: source_path, Length: 9973, dtype: object",y,86.89996871798435,0.9996631268606431,-5287.037402931816,6978
"0       stationary_spiral6_10.08.2025.csv
1       stationary_spiral6_10.08.2025.csv
2       stationary_spiral6_10.08.2025.csv
3       stationary_spiral6_10.08.2025.csv
4       stationary_spiral6_10.08.2025.csv
                      ...                
9968    stationary_spiral6_10.08.2025.csv
9969    stationary_spiral6_10.08.2025.csv
9970    stationary_spiral6_10.08.2025.csv
9971    stationary_spiral6_10.08.2025.csv
9972    stationary_spiral6_10.08.2025.csv
Name: source_path, Length: 9973, dtype: object",z,45.502745841022254,0.9996344585813104,-3853.0,5827
"0       stationary_spiral6_10.08.2025.csv
1       stationary_spiral6_10.08.2025.csv
2       stationary_spiral6_10.08.2025.csv
3       stationary_spiral6_10.08.2025.csv
4       stationary_spiral6_10.08.2025.csv
                      ...                
9968    stationary_spiral6_10.08.2025.csv
9969    stationary_spiral6_10.08.2025.csv
9970    stationary_spiral6_10.08.2025.csv
9971    stationary_spiral6_10.08.2025.csv
9972    stationary_spiral6_10.08.2025.csv
Name: source_path, Length: 9973, dtype: object",mag,91.76213830586433,0.9997197871452028,8640.702170541466,5827
"0       stationary_spiral7_10.08.2025.csv
1       stationary_spiral7_10.08.2025.csv
2       stationary_spiral7_10.08.2025.csv
3       stationary_spiral7_10.08.2025.csv
4       stationary_spiral7_10.08.2025.csv
                      ...                
9173    stationary_spiral7_10.08.2025.csv
9174    stationary_spiral7_10.08.2025.csv
9175    stationary_spiral7_10.08.2025.csv
9176    stationary_spiral7_10.08.2025.csv
9177    stationary_spiral7_10.08.2025.csv
Name: source_path, Length: 9178, dtype: object",x,115.12446285888427,0.9998429135169042,7798.680689706433,5551
"0       stationary_spiral7_10.08.2025.csv
1       stationary_spiral7_10.08.2025.csv
2       stationary_spiral7_10.08.2025.csv
3       stationary_spiral7_10.08.2025.csv
4       stationary_spiral7_10.08.2025.csv
                      ...                
9173    stationary_spiral7_10.08.2025.csv
9174    stationary_spiral7_10.08.2025.csv
9175    stationary_spiral7_10.08.2025.csv
9176    stationary_spiral7_10.08.2025.csv
9177    stationary_spiral7_10.08.2025.csv
Name: source_path, Length: 9178, dtype: object",y,109.94790843870473,0.9994912715328689,-5315.321674179278,6973
"0       stationary_spiral7_10.08.2025.csv
1       stationary_spiral7_10.08.2025.csv
2       stationary_spiral7_10.08.2025.csv
3       stationary_spiral7_10.08.2025.csv
4       stationary_spiral7_10.08.2025.csv
                      ...                
9173    stationary_spiral7_10.08.2025.csv
9174    stationary_spiral7_10.08.2025.csv
9175    stationary_spiral7_10.08.2025.csv
9176    stationary_spiral7_10.08.2025.csv
9177    stationary_spiral7_10.08.2025.csv
Name: source_path, Length: 9178, dtype: object",z,47.1700004489255,0.9996460027866185,-3855.0,5823
"0       stationary_spiral7_10.08.2025.csv
1       stationary_spiral7_10.08.2025.csv
2       stationary_spiral7_10.08.2025.csv
3       stationary_spiral7_10.08.2025.csv
4       stationary_spiral7_10.08.2025.csv
                      ...                
9173    stationary_spiral7_10.08.2025.csv
9174    stationary_spiral7_10.08.2025.csv
9175    stationary_spiral7_10.08.2025.csv
9176    stationary_spiral7_10.08.2025.csv
9177    stationary_spiral7_10.08.2025.csv
Name: source_path, Length: 9178, dtype: object",mag,98.79536602562793,0.9997185553373923,8648.51715613723,5823
"0       stationary_spiral8_10.08.2025.csv
1       stationary_spiral8_10.08.2025.csv
2       stationary_spiral8_10.08.2025.csv
3       stationary_spiral8_10.08.2025.csv
4       stationary_spiral8_10.08.2025.csv
                      ...                
8897    stationary_spiral8_10.08.2025.csv
8898    stationary_spiral8_10.08.2025.csv
8899    stationary_spiral8_10.08.2025.csv
8900    stationary_spiral8_10.08.2025.csv
8901    stationary_spiral8_10.08.2025.csv
Name: source_path, Length: 8902, dtype: object",x,544.3609125865144,0.999819142111321,7158.0419459514205,5331
"0       stationary_spiral8_10.08.2025.csv
1       stationary_spiral8_10.08.2025.csv
2       stationary_spiral8_10.08.2025.csv
3       stationary_spiral8_10.08.2025.csv
4       stationary_spiral8_10.08.2025.csv
                      ...                
8897    stationary_spiral8_10.08.2025.csv
8898    stationary_spiral8_10.08.2025.csv
8899    stationary_spiral8_10.08.2025.csv
8900    stationary_spiral8_10.08.2025.csv
8901    stationary_spiral8_10.08.2025.csv
Name: source_path, Length: 8902, dtype: object",y,151.51099904849892,0.9993104860520436,5336.534877614875,5812
"0       stationary_spiral8_10.08.2025.csv
1       stationary_spiral8_10.08.2025.csv
2       stationary_spiral8_10.08.2025.csv
3       stationary_spiral8_10.08.2025.csv
4       stationary_spiral8_10.08.2025.csv
                      ...                
8897    stationary_spiral8_10.08.2025.csv
8898    stationary_spiral8_10.08.2025.csv
8899    stationary_spiral8_10.08.2025.csv
8900    stationary_spiral8_10.08.2025.csv
8901    stationary_spiral8_10.08.2025.csv
Name: source_path, Length: 8902, dtype: object",z,285.3027177547433,0.9993766735301466,-4170.0,5602
"0       stationary_spiral8_10.08.2025.csv
1       stationary_spiral8_10.08.2025.csv
2       stationary_spiral8_10.08.2025.csv
3       stationary_spiral8_10.08.2025.csv
4       stationary_spiral8_10.08.2025.csv
                      ...                
8897    stationary_spiral8_10.08.2025.csv
8898    stationary_spiral8_10.08.2025.csv
8899    stationary_spiral8_10.08.2025.csv
8900    stationary_spiral8_10.08.2025.csv
8901    stationary_spiral8_10.08.2025.csv
Name: source_path, Length: 8902, dtype: object",mag,384.46770231987847,0.9930228640710745,8347.442302885358,5602
"0       stationary_spiral9_10.08.2025.csv
1       stationary_spiral9_10.08.2025.csv
2       stationary_spiral9_10.08.2025.csv
3       stationary_spiral9_10.08.2025.csv
4       stationary_spiral9_10.08.2025.csv
                      ...                
9208    stationary_spiral9_10.08.2025.csv
9209    stationary_spiral9_10.08.2025.csv
9210    stationary_spiral9_10.08.2025.csv
9211    stationary_spiral9_10.08.2025.csv
9212    stationary_spiral9_10.08.2025.csv
Name: source_path, Length: 9213, dtype: object",x,118.4405227655923,0.9997747646303715,7803.630437174739,5535
"0       stationary_spiral9_10.08.2025.csv
1       stationary_spiral9_10.08.2025.csv
2       stationary_spiral9_10.08.2025.csv
3       stationary_spiral9_10.08.2025.csv
4       stationary_spiral9_10.08.2025.csv
                      ...                
9208    stationary_spiral9_10.08.2025.csv
9209    stationary_spiral9_10.08.2025.csv
9210    stationary_spiral9_10.08.2025.csv
9211    stationary_spiral9_10.08.2025.csv
9212    stationary_spiral9_10.08.2025.csv
Name: source_path, Length: 9213, dtype: object",y,141.3295348102403,0.9992006711735036,-5376.132857361321,6958
"0       stationary_spiral9_10.08.2025.csv
1       stationary_spiral9_10.08.2025.csv
2       stationary_spiral9_10.08.2025.csv
3       stationary_spiral9_10.08.2025.csv
4       stationary_spiral9_10.08.2025.csv
                      ...                
9208    stationary_spiral9_10.08.2025.csv
9209    stationary_spiral9_10.08.2025.csv
9210    stationary_spiral9_10.08.2025.csv
9211    stationary_spiral9_10.08.2025.csv
9212    stationary_spiral9_10.08.2025.csv
Name: source_path, Length: 9213, dtype: object",z,54.20418506249556,0.999249412672999,-3861.0,5807
"0       stationary_spiral9_10.08.2025.csv
1       stationary_spiral9_10.08.2025.csv
2       stationary_spiral9_10.08.2025.csv
3       stationary_spiral9_10.08.2025.csv
4       stationary_spiral9_10.08.2025.csv
                      ...                
9208    stationary_spiral9_10.08.2025.csv
9209    stationary_spiral9_10.08.2025.csv
9210    stationary_spiral9_10.08.2025.csv
9211    stationary_spiral9_10.08.2025.csv
9212    stationary_spiral9_10.08.2025.csv
Name: source_path, Length: 9213, dtype: object",mag,112.30474189761782,0.9996030692629425,8654.039865866114,5808
